         Basket	              -
              ,	              -

        leveled	        leveled	       S-V	         O
              ,	              -	         O	         O
        sheaves	              -	         O	      S-A1
          piled	          piled	         O	       B-V
             up	              -	         O	       E-V
             at	              -	         O	      B-A1
           thes	              -	         O	      I-A1
          field	              -	         O	      I-A1
          GANma	              -	         O	      E-A1
              ;	              -	         O	         O

          under	              -
           seal	              -
             of	              -
       Abbagina	              -
              ;	              -

            193	              -
         female	              -
        laborer	              -
           days	              -
              ,	              -

        leveled	        leveled	       S-V	         O
              ,	              -	         O	         O
        sheaves	              -	         O	      S-A1
          piled	          piled	         O	       S-V
             up	              -	         O	      S-A2

             at	              -
            the	              -
          field	              -
           Muru	              -
              ;	              -

          under	              -
           seal	              -
             of	              -
         Akalla	              -
            son	              -
             of	              -
          Lugal	              -
              -	              -
            ema	              -
              e	              -
              ;	              -

             99	              -
         female	              -
        laborer	              -
           days	              -
              ,	              -

             at	              -	         O
            the	              -	         O
           weir	              -	         O
             of	              -	         O
            the	              -	      B-A1
       waterway	              -	      E-A1
           Dudu	              -	      S-A0
      stationed	      stationed	       S-V
              ;	              -	         O

             31	              -
         female	              -
        laborer	              -
           days	              -
              ,	              -

             at	              -
            the	              -
          field	              -
            Abu	              -
              -	              -
           dudu	              -
              ;	              -

             31	              -
         female	              -
        laborer	              -
           days	              -
              ,	              -

             at	              -
            the	              -
          field	              -
            Nin	              -
              -	              -
           nudu	              -
              ;	              -

            132	              -
         female	              -
        laborer	              -
           days	              -
              ,	              -

             at	              -
            the	              -
          field	              -
           ulpa	              -
              e	              -
              ;	              -

            128	              -
         female	              -
        laborer	              -
           days	              -
              ,	              -

             at	              -
            the	              -
          field	              -
          Mound	              -
              -	              -
             of	              -
              -	              -
            Nin	              -
          ursag	              -
              ;	              -

            104	              -
         female	              -
        laborer	              -
           days	              -
              ,	              -

             at	              -	         O
            the	              -	      B-A1
          field	              -	      E-A1
         Booted	         Booted	       S-V
              -	              -	         O
           oxen	              -	      S-A1
              ;	              -	         O

            109	              -
         female	              -
        laborer	              -
           days	              -
              ,	              -

             at	              -
            the	              -
          field	              -
       Nagabtum	              -
              ;	              -

          under	              -
           seal	              -
             of	              -
         Ukkene	              -
              ;	              -

            294	              -
         female	              -
        laborer	              -
           days	              -
              ,	              -

             at	              -
            the	              -
          field	              -
          GANma	              -
              ;	              -

          under	              -
           seal	              -
             of	              -
             Da	              -
            aga	              -
              ;	              -

        sheaves	              -	      S-A1	      S-A1
          piled	          piled	       B-V	         O
             up	              -	       E-V	         O
              ,	              -	         O	         O
        leveled	        leveled	         O	       S-V
              ;	              -	         O	         O

             33	              -
         female	              -
        laborer	              -
           days	              -
              ,	              -

             to	              -	         O
          GANma	              -	      S-A0
         walked	         walked	       S-V
              ;	              -	         O

             33	              -
         female	              -
        laborer	              -
           days	              -
              ,	              -

           from	              -
          GANma	              -

             to	              -	         O
             Gu	              -	      B-A1
          edina	              -	      E-A1
         walked	         walked	       S-V

             28	              -
         female	              -
        laborer	              -
           days	              -
              ,	              -

           from	              -
             Gu	              -
         ednina	              -

             to	              -	         O
       Nagabtum	              -	      S-A0
         walked	         walked	       S-V
              ;	              -	         O

             10	              -
         female	              -
        laborer	              -
           days	              -
              ,	              -

           from	              -
            the	              -
      threshing	              -
          floor	              -
            Nin	              -
              -	              -
           nudu	              -

             to	              -
            the	              -
        Village	              -
              -	              -
            Abu	              -

         barley	              -	      B-A1
            and	              -	      I-A1
            pea	              -	      E-A1
              -	              -	         O
          flour	              -	      S-A1
        carried	        carried	       S-V
              ;	              -	         O

             20	              -
         female	              -
        laborer	              -
           days	              -
              ,	              -

             at	              -	  B-AM-LOC
            the	              -	  I-AM-LOC
      threshing	              -	  I-AM-LOC
          floor	              -	  I-AM-LOC
             of	              -	  I-AM-LOC
            Nin	              -	  E-AM-LOC
              -	              -	         O
            ura	              -	         O
              m	              -	         O
              -	              -	         O
          grain	              -	      S-A1
          moved	          moved	       S-V
              ;	              -	         O

             20	              -
         female	              -
       laborers	              -
            for	              -
              3	              -
           days	              -
              ,	              -

             at	              -	  B-AM-LOC
            the	              -	  I-AM-LOC
      threshing	              -	  I-AM-LOC
          floor	              -	  I-AM-LOC
             of	              -	  I-AM-LOC
            Nin	              -	  E-AM-LOC
              -	              -	         O
           nudu	              -	         O
              m	              -	         O
              -	              -	         O
          grain	              -	      S-A1
          moved	          moved	       S-V
              ;	              -	         O

             30	              -
         female	              -
       laborers	              -
            for	              -
              8	              -
           days	              -
              ,	              -

         barley	              -
             of	              -
         Booted	              -
              -	              -
           oxen	              -
            and	              -
         barley	              -
             of	              -
            the	              -
            new	              -
          field	              -

             to	              -	         O
            the	              -	      B-A1
           silo	              -	      I-A1
             of	              -	      I-A1
         Apisal	              -	      E-A1
          moved	          moved	       S-V
              ;	              -	         O

             24	              -
         female	              -
        laborer	              -
           days	              -
              ,	              -

      stationed	      stationed	       S-V
             at	              -	      B-A1
            the	              -	      I-A1
           weir	              -	      I-A1
             of	              -	      I-A1
            New	              -	      I-A1
          Canal	              -	      E-A1
              ;	              -	         O

        sheaves	              -	      S-A1	      S-A1	         O
          piled	          piled	       B-V	         O	         O
             up	              -	       E-V	         O	         O
              ,	              -	         O	         O	         O
        leveled	        leveled	         O	       S-V	         O
            and	              -	         O	         O	         O
             at	              -	         O	         O	         O
            the	              -	         O	         O	      B-A1
          water	              -	         O	         O	      E-A1
      stationed	      stationed	         O	         O	       S-V
              ,	              -	         O	         O	         O

          under	              -
           seal	              -
             of	              -
             Ur	              -
              -	              -
              e	              -
              e	              -
              ;	              -

             32	              -
         female	              -
       laborers	              -
            for	              -
             10	              -
           days	              -
              ,	              -

          their	              -
          labor	              -
              :	              -
            320	              -

           from	              -
        Apilsal	              -

             to	              -	         O	         O
         Nippur	              -	      S-A1	      S-A1
         walked	         walked	       S-V	         O
            and	              -	         O	         O
       returned	       returned	         O	       S-V
              ;	              -	         O	         O

            353	              -
            1/2	              -
         female	              -
        laborer	              -
           days	              -
              ,	              -

        surplus	              -	         O
             of	              -	         O
            the	              -	         O
        account	              -	         O
             of	              -	         O
            the	              -	         O
           year	              -	         O
          after	              -	         O
              :	              -	         O
           Kima	              -	      S-A1
            was	              -	         O
      destroyed	      destroyed	       S-V
              ;	              -	         O

          total	              -
              :	              -
             12	              -
              ,	              -
            365	              -
            1/3	              -
         female	              -
        laborer	              -
           days	              -

         booked	         booked	       B-V
            out	              -	       E-V
              ;	              -	         O

        deficit	              -
              :	              -
            594	              -
            2/3	              -
         female	              -
        laborer	              -
           days	              -
              ;	              -

        account	              -
             of	              -
            the	              -
          labor	              -
             of	              -
            the	              -
         female	              -
       laborers	              -
              ,	              -
        millers	              -
              ,	              -

             of	              -
          Lugal	              -
              -	              -
           inim	              -
              -	              -
           gina	              -
              ;	              -

           year	              -	         O	         O
              :	              -	         O	         O
             ar	              -	         O	      B-A1
              i	              -	         O	      I-A1
              ,	              -	         O	      I-A1
           urti	           urti	       S-V	      I-A1
           Kima	              -	      B-A1	      E-A1
           were	              -	      I-A1	         O
      destroyed	      destroyed	      E-A1	       S-V
              .	              -	         O	         O

            193	              -
            gur	              -
              ,	              -
              2	              -
            ban	              -
              5	              -
           sila	              -
         barley	              -
          royal	              -
              ,	              -

             38	              -
            gur	              -
          emmer	              -

             33	              -
            gur	              -
              4	              -
            ban	              -
          wheat	              -

           from	              -
           ARAD	              -
              .	              -

              3	              -
            gur	              -
              ,	              -
              4	              -
          barig	              -
              1	              -
            ban	              -
              5	              -
           sila	              -
         barley	              -
              ,	              -

              1	              -
            gur	              -
              ,	              -
              3	              -
          barig	              -
              4	              -
            ban	              -
              5	              -
           sila	              -
          spelt	              -
              ,	              -

              1	              -
          barig	              -
              ,	              -
              4	              -
            ban	              -
          emmer	              -

           from	              -
          Lugal	              -
              -	              -
              u	              -
             ur	              -
              .	              -

              3	              -
            gur	              -
         barley	              -

       restored	       restored	       S-V
        deficit	              -	      S-A1
             of	              -	         O
           Bida	              -	         O
              .	              -	         O

              1	              -
          barig	              -
              ,	              -
              4	              -
            ban	              -
              4	              -
           sila	              -
          spelt	              -

           from	              -
            Nin	              -
              -	              -
          melam	              -
              .	              -

       Together	              -
              ,	              -
            the	              -
     equivalent	              -
         barley	              -
              :	              -
            308	              -
            gur	              -
              ,	              -
              3	              -
          barig	              -
              3	              -
            ban	              -
              8	              -
           sila	              -
              .	              -

             36	              -
         female	              -
       laborers	              -
              ,	              -
              3	              -
            ban	              -
              ,	              -

           from	              -	         O
          month	              -	         O
         Barley	              -	      S-A1
        brought	        brought	       S-V
             to	              -	      B-A3
            the	              -	      I-A3
         harbor	              -	      E-A3

             of	              -	  B-AM-TMP
            the	              -	  I-AM-TMP
           year	              -	  I-AM-TMP
            Har	              -	  I-AM-TMP
              i	              -	  I-AM-TMP
            and	              -	  I-AM-TMP
           Kima	              -	  E-AM-TMP
           were	              -	         O
      destroyed	      destroyed	         O

            the	              -	         O
      completed	      completed	       S-V
            day	              -	      S-A1
             23	              -	         O
              ,	              -	         O

          until	              -	         O
          month	              -	      B-A1
         Bricks	              -	      E-A1
           cast	           cast	       S-V
             in	              -	  B-AM-LOC
         moulds	              -	  E-AM-LOC

             of	              -	         O	         O
            the	              -	         O	  B-AM-TMP
           year	              -	         O	  I-AM-TMP
      following	      following	       S-V	  E-AM-TMP
            Har	              -	      B-A2	      B-A1
              i	              -	      I-A2	      I-A1
            and	              -	      I-A2	      I-A1
           Kima	              -	      E-A2	      E-A1
           were	              -	         O	         O
      destroyed	      destroyed	         O	       S-V
              ,	              -	         O	         O

            the	              -	         O
      completed	      completed	       S-V
            day	              -	      S-A1
              7	              -	         O
              ,	              -	         O

            its	              -
          labor	              -
              :	              -
             11	              -
              ,	              -
            304	              -
         female	              -
        laborer	              -
           days	              -
              .	              -

             31	              -
             10	              -
        shekels	              -
         female	              -
        laborer	              -
           days	              -
              ,	              -

          labor	              -
             of	              -
            the	              -
           free	              -
           days	              -
             of	              -
            the	              -
       deceased	              -
         female	              -
        laborer	              -
              .	              -

             It	              -
             is	              -
            the	              -
          debit	              -
              .	              -

      Therefrom	              -

              1	              -
              ,	              -
            884	              -
              ,	              -
          labor	              -
             of	              -
            the	              -
           free	              -
           days	              -
             of	              -
            the	              -
         female	              -
       laborers	              -
              .	              -

            185	              -
            gur	              -
              ,	              -
              2	              -
          barig	              -
              4	              -
            ban	              -
          minus	              -
            1/2	              -
           sila	              -
          dabin	              -
          flour	              -
              .	              -

             18	              -
            gur	              -
              ,	              -
              3	              -
          barig	              -
              1	              -
            ban	              -
              4	              -
           sila	              -
            sig	              -
              -	              -
          flour	              -
              ,	              -

             35	              -	      B-A0
            gur	              -	      I-A0
              ,	              -	      I-A0
              4	              -	      I-A0
          barig	              -	      I-A0
              1	              -	      I-A0
            ban	              -	      I-A0
              5	              -	      I-A0
           sila	              -	      E-A0
        pounded	        pounded	       S-V
          flour	              -	      S-A1
              ,	              -	         O

              4	              -	         O
          barig	              -	         O
              ,	              -	         O
              1	              -	         O
            ban	              -	         O
          dabin	              -	         O
          flour	              -	         O
              ,	              -	         O
           loss	              -	         O
              ,	              -	         O
          flour	              -	      S-A1
         filled	         filled	       S-V
           into	              -	      B-A2
            the	              -	      I-A2
          house	              -	      E-A2
              ,	              -	         O

            its	              -
          labor	              -
              :	              -
              7	              -
              ,	              -
            226	              -
           days	              -
              .	              -

              2	              -
            gur	              -
              ,	              -
              1	              -
          barig	              -
              4	              -
            ban	              -
              1	              -
            1/2	              -
           sila	              -
              e	              -
              a	              -
          flour	              -
              ,	              -

              4	              -
            ban	              -
              4	              -
           sila	              -
           fine	              -
              ,	              -
         ground	              -
          bread	              -
              ,	              -

            its	              -
          labor	              -
              :	              -
             37	              -
            1/3	              -
           days	              -
              .	              -

         sealed	         sealed	       S-V
         tablet	              -	      S-A1
             of	              -	         O
             Lu	              -	         O
              -	              -	         O
        dingira	              -	      S-A1
              .	              -	         O

             22	              -
            1/2	              -
            sar	              -
           soil	              -
              ,	              -

            per	              -
         digger	              -
             10	              -
        shekels	              -
              ,	              -

          labor	              -
             of	              -
            the	              -
         female	              -
       laborers	              -
              :	              -
            270	              -
           days	              -
              ,	              -

         sealed	         sealed	       S-V
         tablet	              -	      S-A1
             of	              -	         O
             Ur	              -	         O
              -	              -	         O
       Namnunka	              -	      S-A1
              .	              -	         O

            238	              -	         O
          labor	              -	         O
             of	              -	         O
            the	              -	      B-A0
         female	              -	      I-A0
       laborers	              -	      E-A0
            who	              -	    S-R-A0
       winnowed	       winnowed	       S-V
         barley	              -	      S-A1
              ,	              -	         O

            the	              -	         O
         sealed	         sealed	       S-V
        tablets	              -	      S-A1
            are	              -	         O
              3	              -	         O
              ,	              -	         O

         sealed	         sealed	       S-V
        tablets	              -	      S-A1
             of	              -	         O
           ARAD	              -	         O
              .	              -	         O

             30	              -
         female	              -
        laborer	              -
           days	              -

          flour	              -	      S-A1
         loaded	         loaded	       S-V
           onto	              -	      B-A1
            the	              -	      I-A1
          barge	              -	      E-A1
              ,	              -	         O

         sealed	         sealed	       S-V
         tablet	              -	      S-A1
             of	              -	         O
              e	              -	         O
            ani	              -	         O
              .	              -	         O

             19	              -	         O
         female	              -	         O
        laborer	              -	         O
              ,	              -	         O
          straw	              -	      S-A1
        carried	        carried	         O

             to	              -
            the	              -
         temple	              -
             of	              -
           ulgi	              -
              ,	              -

         sealed	         sealed	       S-V
         tablet	              -	      S-A1
             of	              -	         O
         Akalla	              -	         O
              .	              -	         O

              4	              -
         female	              -
       laborers	              -
              ,	              -
             47	              -
         female	              -
        laborer	              -
           days	              -
              ,	              -

            its	              -
          labor	              -
              :	              -
            188	              -
           days	              -
              ,	              -

         sealed	         sealed	       S-V
         tablet	              -	      S-A1
             of	              -	         O
            ara	              -	         O
              -	              -	         O
           zame	              -	         O
              .	              -	         O

             27	              -	      B-A0
         female	              -	      I-A0
       laborers	              -	      E-A0
             in	              -	  B-AM-TMP
              7	              -	  I-AM-TMP
           days	              -	  E-AM-TMP
           went	           went	       S-V
             to	              -	      B-A4
            the	              -	      I-A4
           bala	              -	      E-A4
              ,	              -	         O

             27	              -	      B-A1
         female	              -	      I-A1
       laborers	              -	      I-A1
             in	              -	      I-A1
              3	              -	      I-A1
           days	              -	      E-A1
       returned	       returned	       S-V
           from	              -	      B-A3
            the	              -	      I-A3
           bala	              -	      E-A3
              ,	              -	         O

            its	              -
          labor	              -
              :	              -
            270	              -
           days	              -
              .	              -

             96	              -
         female	              -
        laborer	              -
           days	              -

             at	              -
            the	              -
        weaving	              -
              -	              -
           mill	              -
              ,	              -

         sealed	         sealed	       S-V
         tablet	              -	      S-A1
             of	              -	         O
            Adu	              -	         O
              .	              -	         O

             30	              -
         female	              -
        laborer	              -
           days	              -

         sieved	              -
          dabin	              -
          flour	              -
              ,	              -

         sealed	         sealed	       S-V
         tablet	              -	      S-A1
             of	              -	         O
             Ur	              -	         O
              -	              -	         O
             zu	              -	         O
              .	              -	         O

            240	              -
         female	              -
        laborer	              -
           days	              -
              ,	              -
         female	              -
       laborers	              -
             of	              -
            the	              -
         arzana	              -
              ,	              -

         sealed	         sealed	       S-V
         tablet	              -	      S-A1
             of	              -	         O
          Lugal	              -	         O
              -	              -	         O
            nig	              -	         O
              -	              -	         O
         lagare	              -	         O
              .	              -	         O

           Dead	              -
              :	              -
            Nin	              -
              -	              -
          hegal	              -
              ,	              -

           from	              -
            the	              -
          month	              -
          House	              -
          sixth	              -
          month	              -

             of	              -	         O
            the	              -	  B-AM-TMP
           year	              -	  E-AM-TMP
            Har	              -	      B-A1
              i	              -	      I-A1
            and	              -	      I-A1
           Kima	              -	      E-A1
           were	              -	         O
      destroyed	      destroyed	       S-V
              ,	              -	         O

          until	              -	         O
          month	              -	      B-A1
         bricks	              -	      E-A1
           cast	           cast	       S-V
             in	              -	  B-AM-LOC
         moulds	              -	  E-AM-LOC

             of	              -	         O	         O	         O
            the	              -	         O	         O	         O
           year	              -	         O	         O	         O
      following	      following	       S-V	         O	         O
            Har	              -	      B-A2	      B-A1	         O
              i	              -	      I-A2	      I-A1	         O
            and	              -	      I-A2	      I-A1	         O
           Kima	              -	      E-A2	      E-A1	         O
           were	              -	         O	         O	         O
      destroyed	      destroyed	         O	       S-V	         O
              ,	              -	         O	         O	         O
            the	              -	         O	         O	         O
      completed	      completed	         O	         O	       S-V
            day	              -	         O	         O	         O
              7	              -	         O	         O	         O
              ,	              -	         O	         O	         O

            its	              -
          labor	              -
              :	              -
            187	              -
           days	              -
              .	              -

          Total	              -
              :	              -
            186	              -
            gur	              -
              ,	              -
              1	              -
          barig	              -
              5	              -
            ban	              -
          minus	              -
            1/2	              -
           sila	              -
          dabin	              -
          flour	              -
              ,	              -

          total	              -
              :	              -
             54	              -
            gur	              -
              ,	              -
              2	              -
          barig	              -
              3	              -
            ban	              -
          minus	              -
              1	              -
           sila	              -
            sig	              -
              -	              -
          flour	              -
              ,	              -

          total	              -
              :	              -
              2	              -
            gur	              -
              1	              -
          barig	              -
              4	              -
            ban	              -
              1	              -
            1/2	              -
           sila	              -
              e	              -
              a	              -
          flour	              -
              ,	              -

          total	              -
              :	              -
              4	              -
            ban	              -
              4	              -
           sila	              -
           fine	              -
              ,	              -
         ground	              -
          bread	              -
              ,	              -

          total	              -
              ,	              -
            its	              -
         barley	              -
              :	              -
            300	              -
            gur	              -
              ,	              -
              1	              -
          barig	              -
              1	              -
            ban	              -
              6	              -
            1/2	              -
           sila	              -
              ,	              -

          total	              -
              :	              -
             10	              -
              ,	              -
            715	              -
         female	              -
        laborer	              -
           days	              -

         booked	         booked	       B-V
            out	              -	       E-V
              .	              -	         O

        Deficit	              -
              :	              -
              8	              -
            gur	              -
              ,	              -
              2	              -
          barig	              -
              2	              -
            ban	              -
              1	              -
            1/2	              -
           sila	              -
              ,	              -

        deficit	              -
              :	              -
            620	              -
          10/60	              -
         female	              -
        laborer	              -
           days	              -
              ,	              -

            are	              -
            the	              -
        deficit	              -
              .	              -

        Account	              -
             of	              -
             Ur	              -
              -	              -
            ara	              -
              ,	              -
        foreman	              -
             of	              -
        milling	              -
              ,	              -

             in	              -	  B-AM-TMP
            the	              -	  I-AM-TMP
          month	              -	  E-AM-TMP
         bricks	              -	      S-A1
           cast	           cast	       S-V
             in	              -	  B-AM-LOC
         moulds	              -	  E-AM-LOC

             of	              -	         O	  B-AM-TMP
            the	              -	         O	  I-AM-TMP
           year	              -	         O	  I-AM-TMP
      following	      following	       S-V	  E-AM-TMP
            Har	              -	      B-A2	      B-A1
              i	              -	      I-A2	      I-A1
            and	              -	      I-A2	      I-A1
           Kima	              -	      E-A2	      E-A1
           were	              -	         O	         O
      destroyed	      destroyed	         O	       S-V
              .	              -	         O	         O

              4	              -
            1/2	              -
        shekels	              -
              ,	              -
             12	              -
         grains	              -
             of	              -
         silver	              -
              ,	              -

            the	              -	      S-A1
      remaining	      remaining	       S-V
              ;	              -	         O

              1	              -	         O
              ,	              -	         O
            980	              -	      S-A0
         headed	         headed	       S-V
           fish	              -	      S-A1
              ,	              -	         O

          their	              -
         silver	              -
              :	              -
              2	              -
            1/6	              -
        shekels	              -
              ,	              -
              6	              -
         grains	              -
              ;	              -

            720	              -	         O
         gutted	         gutted	       S-V
           fish	              -	      S-A1
              ,	              -	         O
          their	              -	         O
         silver	              -	         O
              :	              -	         O
              2	              -	         O
        shekels	              -	         O

          their	              -
         silver	              -
              :	              -
              2	              -
        shekels	              -

              6	              -
        talents	              -
             of	              -
           wool	              -
              ,	              -

            its	              -
         silver	              -
              :	              -
            2/3	              -
           mana	              -
              ;	              -

          under	              -
           seal	              -
              .	              -

              3	              -	         O
              ,	              -	         O
            300	              -	         O
           slit	           slit	       S-V
           fish	              -	      S-A1
              ,	              -	         O

          their	              -
         silver	              -
              :	              -
              4	              -
            1/4	              -
        shekels	              -
              ,	              -
              5	              -
         grains	              -
              ;	              -

              2	              -	         O
              ,	              -	         O
            190	              -	      S-A0
         headed	         headed	       S-V
           fish	              -	      S-A1
              ,	              -	         O

          their	              -
         silver	              -
              :	              -
              2	              -
            1/3	              -
        shekels	              -
              ,	              -
             18	              -
         grains	              -
              ;	              -

              2	              -
          barig	              -
           fish	              -
            oil	              -
              ,	              -

            its	              -
         silver	              -
              :	              -
              4	              -
        shekels	              -
              ;	              -

             64	              -
            gur	              -
             of	              -
          dates	              -
              ,	              -

          their	              -
         silver	              -
              :	              -
            2/3	              -
           mana	              -
              ,	              -
              2	              -
            2/3	              -
        shekels	              -
              ;	              -

           year	              -	         O
              :	              -	         O
           Enma	              -	      B-A1
         galana	              -	      E-A1
            was	              -	         O
      installed	      installed	       S-V
             AS	              -	      B-A2
              4	              -	      E-A2
              .	              -	         O

             50	              -
            gur	              -
             of	              -
          dates	              -
              ,	              -

          their	              -
         silver	              -
              :	              -
            1/2	              -
           mana	              -
              ,	              -
              3	              -
            1/3	              -
        shekels	              -
              ;	              -

           year	              -	         O
              :	              -	         O
             En	              -	      B-A1
              -	              -	      I-A1
         unugal	              -	      I-A1
              -	              -	      I-A1
         Inanna	              -	      E-A1
            was	              -	         O
      installed	      installed	       S-V
             AS	              -	      B-A2
              5	              -	      E-A2
              .	              -	         O

             10	              -
          water	              -
          skins	              -
              ,	              -

          their	              -
         silver	              -
              :	              -
            1/2	              -
         shekel	              -
              ,	              -
             20	              -
         grains	              -
              ;	              -

             10	              -
          pairs	              -
              ?	              -
             of	              -
        leather	              -
